,Borough,Neighborhood,ID,Name
197,Queens,Rego Park,4b5917edf964a520387c28e3,Red House Kitchen
198,Queens,Woodhaven,4de06d3ed164e323c7ad25ee,Panda King
199,Queens,Woodhaven,4e3f1364b0fb875af8786fcd,Eastern Restaurant
200,Queens,Woodhaven,4e4cddd8bd413c4cc66cccff,Long River Chinese Restaurant
201,Queens,Ozone Park,4cedc3a83b03f04dc77236dc,Ho Ho China Garden
202,Queens,Ozone Park,4c5de5a285a1e21e32db5a11,Good Taste
203,Queens,South Ozone Park,4ccf49fe1ac7a1cd71c91292,Peking Express
204,Queens,South Ozone Park,4bfc62ff2fcf9521e6c635b4,New Hunan Wok
205,Queens,College Point,4d8805b7d85f370481b0c9db,Little Pepper
206,Queens,College Point,4bffe248ca1920a1206ced81,Keilly Chinese Restaurant
207,Queens,College Point,4c3b9f2062f1c9288ed58f53,Happy Town Chinese Restaurant
208,Queens,Whitestone,4bb674486edc76b0ecf8301c,Pearl Garden
209,Queens,Whitestone,4f628efbe4b03be1015fa338,Lotus Pad
210,Queens,Bayside,4ce842849f776ea8190b5d22,Chow Chinese Take Out
211,Queens,Bayside,4b78929ff964a520aad72ee3,Bell Garden
212,Queens,Auburndale,4ce842849f776ea8190b5d22,Chow Chinese Take Out
213,Queens,Auburndale,4c1b9e9463750f47c524b567,Moon Star
214,Queens,Little Neck,53794fd211d282a3cce576a2,Little Dumpling 李小籠
215,Queens,Little Neck,53acac39498e3f6a67265048,Moonstone
216,Queens,Little Neck,4bc25d5b4cdfc9b627109621,Northern Manor 同乐轩
217,Queens,Little Neck,571ab7b2498ed52e0d5f4bca,LN1380 舍得食府
218,Queens,Little Neck,4bd4debc4e32d13a9419c080,King Wok
219,Queens,Little Neck,49f3a080f964a520c36a1fe3,Dragon Express Chinese Restaurant
220,Queens,Douglaston,53794fd211d282a3cce576a2,Little Dumpling 李小籠
221,Queens,Douglaston,4bc25d5b4cdfc9b627109621,Northern Manor 同乐轩
222,Queens,Douglaston,571ab7b2498ed52e0d5f4bca,LN1380 舍得食府
223,Queens,Douglaston,4bd4debc4e32d13a9419c080,King Wok
224,Queens,Kew Gardens Hills,4c5a18e26407d13a1301b428,Panda Garden
225,Queens,Kew Gardens Hills,4c093b61009a0f479964e7bf,Sweet Garden
226,Queens,Fresh Meadows,567c9683498ea7d84c364d8c,I Chopsticks
227,Queens,Fresh Meadows,4b493b67f964a520e16a26e3,Dave's Chinese Kitchen
228,Queens,Fresh Meadows,4c682095b80abe9aee4ed1e5,Peking House
229,Queens,Fresh Meadows,4c563940b7a31b8d6cb44dda,Taipan Fusion Restaurant and Hookah Lounge
230,Queens,Fresh Meadows,4bc76fe08b7c9c74f97436cf,New Hong Kong Garden
231,Queens,Fresh Meadows,4b58fd3ff964a520257728e3,Jade Fountain Chinese Cuisine
232,Queens,Fresh Meadows,4b61d128f964a520d1242ae3,Seven Stars Chinese Restaurant
233,Queens,Briarwood,4c5a18e26407d13a1301b428,Panda Garden
234,Queens,Briarwood,55707f69498e9a716399de69,Beijing Dumpling Handmade
